s_acctbal           s_comment           p_mfgr              ps_supplycost       ps_availqty         o_orderstatus       l_receiptdate       l_commitdate        o_orderpriority     l_tax               l_shipinstruct      p_size              p_brand             p_container         l_shipmode          p_name              l_quantity          l_partkey           l_extendedprice     l_discount          n_name              s_nationkey         l_suppkey           o_orderdate         o_custkey           c_nationkey         r_name              n_regionkey         p_type              s_phone             s_address           s_name              l_shipdate          l_returnflag        c_name              c_acctbal           c_phone             c_comment           c_address           o_shippriority      c_mktsegment        l_linestatus        o_totalprice        o_comment           
213.0               213.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 213.0               213.0               0.0                 0.0                 0.0                 0.0                 213.0               213.0               213.0               213.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
213.0               480.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 480.0               267.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 213.0               213.0               0.0                 0.0                 0.0                 0.0                 213.0               213.0               480.0               213.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
213.0               213.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 213.0               213.0               0.0                 0.0                 0.0                 0.0                 213.0               213.0               213.0               213.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
213.0               213.0               213.0               790.0               293.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 213.0               0.0                 0.0                 0.0                 284.0               284.0               284.0               284.0               284.0               790.0               790.0               284.0               284.0               0.0                 0.0                 213.0               213.0               213.0               213.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 293.0               403.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 110.0               110.0               110.0               0.0                 0.0                 403.0               403.0               110.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 110.0               110.0               110.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 0.0                 0.0                 316.0               316.0               316.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 316.0               316.0               316.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 316.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 0.0                 0.0                 316.0               813.0               813.0               497.0               0.0                 0.0                 0.0                 0.0                 0.0                 289.0               0.0                 0.0                 0.0                 0.0                 0.0                 316.0               316.0               316.0               208.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 316.0               289.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 0.0                 0.0                 316.0               813.0               813.0               497.0               0.0                 0.0                 0.0                 0.0                 0.0                 289.0               0.0                 0.0                 0.0                 0.0                 0.0                 316.0               316.0               316.0               208.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 316.0               289.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 497.0               497.0               497.0               0.0                 0.0                 0.0                 0.0                 0.0                 289.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 208.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 289.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 198.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 198.0               0.0                 198.0               198.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 198.0               198.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 198.0               0.0                 0.0                 
0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 295.0               295.0               295.0               295.0               295.0               0.0                 295.0               295.0               295.0               295.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
213.0               480.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 295.0               775.0               562.0               295.0               295.0               0.0                 295.0               295.0               295.0               295.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 213.0               213.0               480.0               213.0               213.0               213.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 267.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 295.0               562.0               838.0               571.0               295.0               0.0                 571.0               571.0               571.0               295.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 267.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 295.0               295.0               571.0               571.0               295.0               0.0                 571.0               571.0               571.0               295.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 289.0               289.0               289.0               0.0                 295.0               295.0               295.0               295.0               584.0               0.0                 295.0               295.0               295.0               295.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 289.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 284.0               110.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 394.0               394.0               394.0               284.0               284.0               394.0               394.0               394.0               284.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 110.0               110.0               110.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 
0.0                 0.0                 0.0                 284.0               110.0               0.0                 0.0                 0.0                 0.0                 198.0               295.0               295.0               571.0               571.0               295.0               394.0               1539.0              965.0               1256.0              980.0               394.0               394.0               394.0               457.0               173.0               0.0                 0.0                 0.0                 0.0                 0.0                 110.0               110.0               511.0               198.0               173.0               0.0                 0.0                 0.0                 0.0                 0.0                 0.0                 198.0               173.0               0.0                 
