     l_partkey           l_suppkey           l_quantity          l_extendedprice     l_discount          l_tax               l_returnflag        l_linestatus        l_shipdate          l_commitdate        l_receiptdate       l_shipinstruct      l_shipmode          n_name              n_regionkey         r_name              p_name              p_mfgr              p_brand             p_type              p_size              p_container         ps_availqty         ps_supplycost       c_name              c_address           c_nationkey         c_phone             c_acctbal           c_mktsegment        c_comment           s_name              s_address           s_nationkey         s_phone             s_acctbal           s_comment           o_custkey           o_orderstatus       o_totalprice        o_orderdate         o_orderpriority     o_shippriority      o_comment           
1    0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   
2    0                   0                   0                   1                   1                   0                   1                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   1                   0                   0                   0                   0                   0                   0                   1                   0                   0                   1                   0                   0                   0                   
3    0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   
4    0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   
5    0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   1                   
6    1                   0                   0                   1                   1                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   
7    0                   1                   0                   1                   1                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   
8    0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   
9    1                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   
10   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   1                   1                   0                   0                   0                   
11   1                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   1                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   
12   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   1                   0                   1                   1                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   
13   1                   1                   1                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   1                   0                   0                   1                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   
14   0                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   1                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   
15   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   
16   0                   0                   0                   1                   1                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   1                   0                   1                   0                   
17   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   
18   0                   1                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   1                   0                   0                   1                   0                   0                   0                   
19   0                   0                   1                   1                   1                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   
20   0                   1                   0                   1                   1                   0                   0                   0                   1                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   1                   0                   0                   0                   1                   0                   0                   0                   0                   0                   0                   
